"product_id","product_name","category","discounted_price","actual_price","discount_percentage","rating","rating_count","review_title"
"B08G1RW2Q3","EYNK Extra Long Micro USB Fast Charging USB Cable | Micro USB Data Cable | Quick Fast Charging Cable | Charger Sync Cable | High Speed Transfer Android Smartphones V8 Cable (2.4 Amp, 3m,) (White)","Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables",296,799,0.63,4,151,"Extended length for securiry camera,Dont judge a book by it's cover,Good sturdy product with neat finish.,cable quality is good and near 10 ft in length,Good enough to length,Good Product,PERFECT!,Super"
"B08YXJJW8H","LUNAGARIYA®, Protective Case Compatible with JIO Settop Box Remote Control,PU Leather Cover Holder (Before Placing Order,Please Compare The Dimensions of The Product with Your Remote)","Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",247,399,0.38,3.9,200,"Fits the remote correctly,Fits well but bit costly,Protected remote properly,Good Quality but Slightly Pricey!!,The case is good and it is apt for the Jio TV remote. I recommend this product.,Perfect fit,Fits Jio Remote,Superb"
"B09P8M18QM","7SEVEN® Compatible with Fire Tv Stick Remote with Voice Command Feature Suitable for Second Generation Amazon Fire Tv Stick Remote Only - Pairing Must","Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",1380,2999,0.54,3.3,227,"Good, But Disappointed,Perfect replacement,Have to press buttons harder,Very expensive,Not working properly after one month,Product quality,Not satisfactory,Good"
"B08BG4M4N7","PRUSHTI COVER AND BAGS, Protective Case for Airtel Xstream settop Box Remote Remote Control Pouch Cover Holder PU Leather Cover Holder(only Cover for Selling Purpose)","Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",200,499,0.6,3.8,538,"Nice,Good,Good protective cover fo Airtel Xtreme settop box remote,Very nice cover.,Expensive,Very uncomfortable to use,Value for money....height of the cover can be made small.,Good product"
"B07VJ9ZTXS","Aine HDMI Male to VGA Female Video Converter Adapter Cable (Black)","Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",300,599,0.5,4,171,"Nice product <U+0001F44D><U+0001F44D>,Cheap plus durable. Worth the money.,Good purchase,Aine HDMI Male to VGA Female Video Converter Adapter Cable (Black),It's easy to connect,Sturdy, affordable, no lag converyer cable,Works well but the output quality is not as good as direct VGA connection.,Works well. Does its work as required."
"B00GGGOYEU","Storite USB 2.0 A to Mini 5 pin B Cable for External HDDS/Camera/Card Readers (150cm - 1.5M)","Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables",301,699,0.57,3.9,1454,"Good product, but not excellent I should say.,Very poor quality,OK,Good,Very good product. Satisfied with the performance.,will get job done,Good,Value for money <U+270C><U+FE0F>"
"B0BQRJ3C47","REDTECH USB-C to Lightning Cable 3.3FT, [Apple MFi Certified] Lightning to Type C Fast Charging Cord Compatible with iPhone 14/13/13 pro/Max/12/11/X/XS/XR/8, Supports Power Delivery - White","Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables",250,999,0.75,5,18295.5413533835,"Awesome Product"
"B08V9C4B1J","Synqe Type C to Type C Short Fast Charging 60W Cable Compatible with Samsung Galaxy Z Fold3 5G, Z Flip3 5G, S22 5G, S22 Ultra, S21, S20, S20FE, A52, A73, A53 (0.25M, Black)","Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables",350,999,0.65,4.3,838,"Used for 10 months,Quality is good,Good Aftersale Service,Super fast charging suppurt,Superb Quality and value for money,Good small cable,Nice,Highly recommended"
"B08PKBMJKS","Airtel DigitalTV HD Setup Box Remote","Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",195,499,0.61,3.8,136,"Working fine but cheap quality,Original but small,<U+0CA8><U+0CC0><U+0CB5><U+0CC1> <U+0C95><U+0CB3><U+0CC1><U+0CB9><U+0CBF><U+0CB8><U+0CBF><U+0CA6> <U+0CB5><U+0CB8><U+0CCD><U+0CA4><U+0CC1> <U+0CB8><U+0CB0><U+0CBF><U+0CAF><U+0CBE><U+0C97><U+0CBF> <U+0C95><U+0CC6><U+0CB2><U+0CB8> <U+0CAE><U+0CBE><U+0CA1><U+0CC1><U+0CA4><U+0CCD><U+0CA4><U+0CBF><U+0CB2>,Sturdy,Good,Works perfectly with Airtel HD set up box,Item is value for money.,,On Off button doesn’t work."
"B0B8VQ7KDS","Airtel Digital TV HD Set Top Box with FTA Pack | Unlimited Entertainment + Recording Feature + Free Standard Installation (6 Months Pack)","Electronics|HomeTheater,TV&Video|SatelliteEquipment|SatelliteReceivers",1299,2499,0.48,4.3,301,"Good ptoduct,Overall good product,, and good choice,, <U+263A><U+FE0F>,Cable is short,Good,All channel  view nice,Very fast and good service,Ok,The product was <U+0001F64C>"
